143,301
1530,306
310,292
2090,289
1744,308
2316,265
2136,361
1694,313
54,356
1958,283
812,318
943,358
1208,275
1699,257
1920,291
2464,269
308,297
1044,258
290,470
1908,266
205,276
1462,290
655,319
2212,277
949,274
2513,278
1040,353
581,267
870,316
2284,284
2048,314
2272,368
56,263
125,272
89,310
2364,307
48,360
462,317
1897,367
1586,305
423,357
549,295
390,264
16,352
354,300
1008,282
428,285
1342,362
1337,312
1855,296
1892,304
1242,279
1453,299
1064,315
2253,298
2082,273
1088,280
97,309
690,262
2050,270
343,293
2098,268
1869,302
1281,364
1879,303
767,271
1974,468
326,294
583,288
73,311
731,259
1668,260
2487,469
2527,286
1468,256
1199,359
1333,354
747,287
1479,366
277,363
1000,261
381,281
1175,355
820,64
1109,65
2259,67
794,68
1284,70
557,78
1154,430
2589,431
1707,424
1443,426
695,420
604,422
442,423
595,445
1317,444
582,446
2268,441
1409,443
1567,442
1588,437
601,438
589,432
152,398
1841,397
1290,385
45,413
1387,410
2394,409
1948,405
509,403
921,400
1131,92
1569,95
710,94
1741,66
1602,69
792,71
1660,72
1938,73
1649,74
1460,75
1013,76
1777,79
1251,77
609,428
1161,429
2024,425
1837,427
2447,421
2539,416
2389,417
526,418
2273,419
2235,447
2587,440
2429,436
846,435
2599,434
1919,399
584,396
1383,394
1222,392
2113,391
1988,389
2482,387
267,384
1912,415
648,414
936,412
750,411
1776,408
179,407
44,406
2560,404
1871,402
493,401
1624,488
1598,221
1702,208
2245,210
2381,212
232,213
632,200
335,202
543,204
1502,206
101,197
1077,55
1891,54
799,53
1743,50
5,49
2344,63
1791,60
2303,59
1180,56
65,39
1046,37
1824,32
1713,46
728,44
1059,45
1237,22
1225,17
1667,16
2017,19
30,18
1124,29
2448,28
1470,1
269,219
2369,220
1896,222
484,223
166,209
1248,211
379,214
1215,215
1874,201
2223,203
1670,205
385,207
491,193
230,192
895,195
1818,194
817,196
1126,199
2450,198
862,52
527,51
2488,48
932,62
2065,61
754,57
931,38
590,36
127,34
617,35
580,33
918,47
1277,42
1058,43
1695,21
614,20
473,23
1916,31
2512,30
1184,25
323,24
1028,27
2022,26
973,4
1146,5
1698,6
1671,7
2123,0
440,2
463,3
2051,1790
2278,1786
743,1785
2443,1784
1765,1783
432,1782
1581,1780
215,1777
2324,1803
1030,1800
656,1799
745,1796
1053,1797
1379,1792
1412,1793
2357,188
142,189
1348,186
437,185
520,180
789,178
496,177
362,174
2486,171
1740,169
278,164
1023,163
348,162
1678,161
741,157
24,159
554,153
619,154
109,150
587,144
912,145
758,137
908,136
1679,151
905,1791
2503,1789
505,1788
2232,1787
1943,1781
1947,1779
243,1778
1371,1776
249,1806
2219,1807
959,1804
2367,1805
1071,1802
1220,1801
1363,1798
2220,1794
2294,1795
2115,190
2387,191
534,187
1835,184
2465,182
191,183
1132,181
978,179
133,176
1158,175
827,173
650,172
81,170
204,167
1087,166
499,165
1749,160
979,156
1762,158
742,152
1149,155
1407,148
1141,149
1286,146
58,147
1445,141
384,140
457,143
1615,142
368,1921
2195,1932
824,1930
2292,1818
1856,1820
17,1808
1525,1810
424,1813
1367,1815
899,1814
1819,1834
2213,1835
661,1836
2422,1825
613,1826
2249,1828
2337,1830
2480,1849
444,1854
1880,1852
1901,1867
114,1920
1931,1935
2107,1934
1458,1933
261,1931
1318,1929
489,1928
2177,1817
2345,1819
168,1821
157,1822
989,1809
780,1811
146,1812
1239,1832
1041,1833
1514,1837
2365,1838
1142,1839
1406,1824
2209,1827
1496,1829
137,1831
1490,1851
970,1850
2578,1848
687,1855
1386,1853
1292,1843
1374,1842
1332,1841
2425,1840
2573,1847
2546,1846
1712,1845
2579,1844
688,1866
2147,1864
1877,1865
2036,1870
711,1871
1359,1868
512,1869
1632,1858
955,1957
2588,1956
1730,1959
268,1964
1189,1969
500,1974
2164,1973
1629,1978
1081,1980
1324,1984
1168,1990
194,1995
1382,1994
443,1993
561,1992
953,1998
1866,249
1541,255
1049,242
1283,240
1315,244
562,235
1043,1951
2229,1953
1863,1952
2021,1955
2037,1954
438,1958
144,1961
151,1960
2298,1963
2095,1962
2221,1965
1503,1967
1959,1970
111,1971
301,1968
271,1975
237,1972
1808,1979
1799,1976
1017,1977
1985,1983
2351,1981
169,1987
1886,1986
1680,1985
1488,1991
1784,1989
668,1988
880,1999
357,251
221,248
185,254
150,252
2350,253
746,243
1393,241
206,246
1608,247
377,245
2374,234
2174,1593
610,1595
837,1584
917,1586
1166,1591
818,1519
841,1517
1910,1516
288,1515
2388,1514
972,1513
2466,1510
2261,1505
2238,1502
2576,1500
1031,1501
189,1494
1384,1495
494,1492
1990,1489
2386,1548
1884,1544
2463,1546
2500,1541
2057,1533
2014,1526
2349,1594
1692,1596
1463,1597
2172,1598
1722,1599
2167,1585
1568,1587
627,1588
1535,1589
697,1590
2158,1518
2318,1512
2452,1511
1726,1509
2414,1508
919,1507
1634,1506
1860,1504
1898,1503
1001,1498
1763,1499
1814,1496
246,1497
197,1493
838,1490
2044,129
1591,128
139,1491
1617,1488
876,1549
2449,1551
937,1550
1145,1545
1140,1547
1424,1540
2498,1543
1214,1536
85,1539
552,1538
2077,1532
1021,1534
1082,1535
1504,1528
418,1529
1520,1530
469,1531
1599,1524
1964,1525
2270,1527
652,1520
135,1521
306,1522
412,1523
676,1936
1727,1937
1870,1938
1107,1939
1587,1738
1095,1739
2519,1741
300,1742
190,1743
93,1712
236,1714
2150,1718
2525,1721
1178,1724
1156,1726
1042,1638
1787,1634
176,1646
332,1643
2112,1623
353,1620
1221,1616
84,1627
765,1672
2517,1674
1820,1653
1989,1652
1801,1626
2043,1737
593,1740
50,1713
341,1715
513,1717
1150,1716
366,1719
1418,1720
1559,1723
1300,1722
1700,1725
1426,1727
1604,1639
2348,1636
992,1637
375,1635
1395,1632
530,1633
2088,1647
990,1644
1111,1645
1638,1642
1533,1640
1234,1641
1689,1622
1647,1621
2084,1619
1441,1618
2053,1617
1718,1631
2497,1630
678,1629
2217,1628
975,1625
1014,1624
180,1668
1102,1669
167,1670
1659,1671
980,1664
2435,1665
1099,1666
78,1667
404,1676
804,1648
1956,1677
773,1678
1564,1679
1444,1673
987,1675
1909,2079
1887,2078
1864,2088
241,2095
468,2038
2326,2036
1783,2035
257,2034
1517,2047
939,2045
1174,2044
262,2043
659,2042
803,2041
2319,2052
901,2053
2516,2050
68,2048
1423,2049
488,2062
2277,2063
2236,2060
2317,2061
1402,2005
1578,2001
1370,2003
651,2014
11,2010
1400,2019
536,2031
1134,2026
393,2250
1323,2089
528,2074
333,2077
776,2076
1754,2080
871,2081
762,2082
916,2083
1915,2084
1927,2085
318,2086
577,2087
38,2090
2227,2091
611,2092
1198,2093
281,2094
2565,2039
105,2037
1084,2033
2076,2032
1614,2046
1211,2040
2092,2054
2251,2055
2276,2051
478,2059
