390,46193
2563,3411
1288,39054
1619,13877
827,14510
2008,13741
1384,21552
1151,36975
2418,61425
787,49287
1913,39706
2531,27218
758,53104
151,44179
406,17124
1220,50848
1349,48888
1454,14037
441,15199
2390,21844
1587,35803
1045,28620
1749,45957
1235,32201
1510,23877
734,48154
2222,9606
1746,41515
314,57511
1933,56025
2468,46429
1384,18609
599,59439
1682,20705
1487,47824
1568,51697
2501,8509
1232,42869
1213,20258
1425,62363
2218,36092
1884,45382
1547,13267
126,60281
996,6677
1375,60693
773,21341
969,41358
1647,17391
2581,58077
384,15250
2196,15106
877,54770
836,39602
1462,21956
1639,7206
393,57406
703,12263
1953,42181
1439,63399
1506,57875
2336,32599
2086,59439
1199,57701
2193,34843
2188,45345
1538,41489
204,33305
2528,6154
747,8134
1024,41403
1891,56808
1262,40043
806,12503
243,21639
1392,13515
622,27009
1922,43210
6,52821
442,26466
1165,11001
1124,53879
1671,7789
528,22490
566,35892
1271,29295
2221,60908
814,19807
1127,1844
367,34687
1388,16234
1746,21028
1841,19923
2328,56144
2280,48536
320,14608
1401,7461
2316,52986
2564,59808
2211,4107
1213,20848
875,50278
468,38390
1049,19423
2564,55610
1752,12140
2030,40520
1567,22729
1998,13533
254,32386
1834,59334
2025,40716
2029,17066
1451,23335
2108,44375
1973,32942
1239,41362
1012,61022
2431,64033
408,6003
291,30287
1531,20874
1322,6741
1200,1183
2409,1755
758,60542
684,55402
80,25622
